,,mean,mean,mean,median,median,median,std,std,std,duration,duration,duration
,,mean,median,std,mean,median,std,mean,median,std,mean,median,std
competence,distance,,,,,,,,,,,,
cluster,Braycurtis,0.3488,0.3488,,0.344,0.344,,0.0368,0.0368,,4808.5876,4808.5876,
cluster,Canberra,0.3477,0.3477,,0.3448,0.3448,,0.0365,0.0365,,4852.3428,4852.3428,
cluster,Chebyshev,0.3507,0.3507,,0.3472,0.3472,,0.0355,0.0355,,4804.8683,4804.8683,
cluster,Cityblock,0.3492,0.3492,,0.3507,0.3507,,0.0364,0.0364,,4796.4756,4796.4756,
cluster,Cosine,0.3469,0.3469,,0.3471,0.3471,,0.0344,0.0344,,4848.6422,4848.6422,
cluster,Euclidean,0.3489,0.3489,,0.3507,0.3507,,0.0348,0.0348,,4778.0192,4778.0192,
cluster,Minkowski,0.3518,0.3518,,0.3524,0.3524,,0.0354,0.0354,,4773.673,4773.673,
cluster,Sqeuclidean,0.3492,0.3492,,0.3455,0.3455,,0.0333,0.0333,,4778.4226,4778.4226,
knn,Braycurtis,0.3461,0.3461,,0.3409,0.3409,,0.0353,0.0353,,2456.2556,2456.2556,
knn,Canberra,0.3465,0.3465,,0.344,0.344,,0.0358,0.0358,,6634.6089,6634.6089,
knn,Chebyshev,0.3497,0.3497,,0.3532,0.3532,,0.0344,0.0344,,1649.3185,1649.3185,
knn,Cityblock,0.3452,0.3452,,0.341,0.341,,0.0345,0.0345,,1669.6926,1669.6926,
knn,Cosine,0.3484,0.3484,,0.3382,0.3382,,0.0343,0.0343,,7134.2508,7134.2508,
knn,Euclidean,0.3468,0.3468,,0.3477,0.3477,,0.0346,0.0346,,2206.6706,2206.6706,
knn,Minkowski,0.3486,0.3486,,0.3461,0.3461,,0.0356,0.0356,,2177.7912,2177.7912,
knn,Sqeuclidean,0.3483,0.3483,,0.3497,0.3497,,0.0368,0.0368,,1894.2233,1894.2233,
output_profiles,Braycurtis,0.3505,0.3505,,0.3482,0.3482,,0.036,0.036,,2772.1373,2772.1373,
output_profiles,Canberra,0.3502,0.3502,,0.3532,0.3532,,0.0346,0.0346,,3523.7922,3523.7922,
output_profiles,Chebyshev,0.3593,0.3593,,0.3543,0.3543,,0.0387,0.0387,,2746.2978,2746.2978,
output_profiles,Cityblock,0.3489,0.3489,,0.3396,0.3396,,0.0374,0.0374,,2616.553,2616.553,
output_profiles,Cosine,0.3526,0.3526,,0.3518,0.3518,,0.0352,0.0352,,3772.2046,3772.2046,
output_profiles,Euclidean,0.35,0.35,,0.3531,0.3531,,0.0369,0.0369,,2741.5533,2741.5533,
output_profiles,Minkowski,0.3491,0.3491,,0.3469,0.3469,,0.0356,0.0356,,2730.4548,2730.4548,
output_profiles,Sqeuclidean,0.3484,0.3484,,0.3462,0.3462,,0.0359,0.0359,,2684.9645,2684.9645,
